snapshot_date,product_id,store_id,stock_on_hand,reorder_point,lead_time_days
2025-12-30,PROD_00204,STORE_001,216,66,12
2025-12-30,PROD_00204,STORE_002,461,46,12
2025-12-30,PROD_00204,STORE_003,78,52,3
2025-12-30,PROD_00204,STORE_004,393,69,4
2025-12-30,PROD_00204,STORE_005,-10,46,5
2025-12-30,PROD_00204,STORE_006,180,43,13
2025-12-30,PROD_00204,STORE_007,289,59,11
2025-12-30,PROD_00204,STORE_008,216,69,6
2025-12-30,PROD_00204,STORE_009,399,41,14
2025-12-30,PROD_00204,STORE_010,417,78,1
2025-12-30,PROD_00204,STORE_011,432,60,11
2025-12-30,PROD_00204,STORE_012,112,51,7
2025-12-30,PROD_00204,STORE_013,423,34,4
2025-12-30,PROD_00204,STORE_014,139,66,9
2025-12-30,PROD_00204,STORE_015,89,65,13
2025-12-30,PROD_00204,STORE_016,365,33,10
2025-12-30,PROD_00204,STORE_017,184,64,14
2025-12-30,PROD_00204,STORE_018,264,44,8
2025-12-30,PROD_00267,STORE_001,-5,66,13
2025-12-30,PROD_00267,STORE_002,408,70,13
2025-12-30,PROD_00267,STORE_003,385,42,9
2025-12-30,PROD_00267,STORE_004,162,74,4
2025-12-30,PROD_00267,STORE_005,338,24,3
2025-12-30,PROD_00267,STORE_006,115,56,8
2025-12-30,PROD_00267,STORE_007,309,60,8
2025-12-30,PROD_00267,STORE_008,131,63,13
2025-12-30,PROD_00267,STORE_009,74,72,12
2025-12-30,PROD_00267,STORE_010,350,33,7
2025-12-30,PROD_00267,STORE_011,374,54,5
2025-12-30,PROD_00267,STORE_012,410,47,5
2025-12-30,PROD_00267,STORE_013,180,40,11
2025-12-30,PROD_00267,STORE_014,295,37,5
2025-12-30,PROD_00267,STORE_015,285,56,5
2025-12-30,PROD_00267,STORE_016,393,44,4
2025-12-30,PROD_00267,STORE_017,486,62,7
2025-12-30,PROD_00267,STORE_018,-50,42,10
2025-12-30,PROD_00153,STORE_001,267,72,12
2025-12-30,PROD_00153,STORE_002,396,30,10
2025-12-30,PROD_00153,STORE_003,446,38,5
2025-12-30,PROD_00153,STORE_004,20,65,14
2025-12-30,PROD_00153,STORE_005,38,26,10
2025-12-30,PROD_00153,STORE_006,349,65,3
2025-12-30,PROD_00153,STORE_007,480,77,14
2025-12-30,PROD_00153,STORE_008,161,61,14
2025-12-30,PROD_00153,STORE_009,248,31,8
2025-12-30,PROD_00153,STORE_010,44,42,5
2025-12-30,PROD_00153,STORE_011,364,69,11
2025-12-30,PROD_00153,STORE_012,27,28,6
2025-12-30,PROD_00153,STORE_013,172,70,6
2025-12-30,PROD_00153,STORE_014,420,67,11
2025-12-30,PROD_00153,STORE_015,492,77,12
2025-12-30,PROD_00153,STORE_016,134,45,10
2025-12-30,PROD_00153,STORE_017,100,71,7
2025-12-30,PROD_00153,STORE_018,337,79,3
2025-12-30,PROD_00010,STORE_001,215,49,10
2025-12-30,PROD_00010,STORE_002,414,71,9
2025-12-30,PROD_00010,STORE_003,87,72,10
2025-12-30,PROD_00010,STORE_004,307,70,11
2025-12-30,PROD_00010,STORE_005,501,61,5
2025-12-30,PROD_00010,STORE_006,343,22,6
